feature,value,contribution,abs_contribution
age,19.0,4.241211540073772,4.241211540073772
goout,5.0,2.0362526947714126,2.0362526947714126
failures,2.0,1.6042394789415977,1.6042394789415977
famrel,4.0,-1.0796072317025682,1.0796072317025682
Dalc,3.0,0.8613949765629982,0.8613949765629982
Walc,3.0,-0.5840073641606771,0.5840073641606771
freetime,3.0,-0.5489371042942468,0.5489371042942468
health,5.0,0.534176358984716,0.534176358984716
Fjob_services,1.0,0.3927878483873543,0.3927878483873543
schoolsup_no,1.0,-0.38488485239108255,0.38488485239108255
Medu,3.0,-0.35649893791150944,0.35649893791150944
Fedu,3.0,-0.3422151935336759,0.3422151935336759
absences,15.0,0.3063858234099878,0.3063858234099878
Pstatus_T,1.0,0.2775342916010897,0.2775342916010897
studytime,2.0,-0.2762370726488184,0.2762370726488184
